Predicted_Value
1.402391
1.4000914
1.4058263
1.4019026
0.596548
0.20366596
-0.20350553
-0.046244275
0.23715667
0.38354033
0.28371334
0.17176484
0.12998681
0.64240175
0.79017925
1.0597677
0.7823734
0.58812565
1.1228454
0.8415631
0.7338899
0.8997857
1.5183269
1.4844123
1.8285571
1.6976205
1.6398734
1.0469375
1.2447394
1.2690736
1.2995414
1.3254824
1.4448261
1.1447109
0.089298956
-0.06674469
0.066595666
0.15671657
0.29175413
0.3433637
0.25834215
0.22614639
0.4181478
0.97690254
0.967437
0.60810375
1.1641052
1.0082784
0.88278484
1.0234789
0.9383431
1.0719657
1.039073
1.0231178
1.4961182
1.4766802
1.2618253
1.236746
1.2390988
1.0882193
0.9879558
1.4373544
1.3806794
1.4123387
1.3874199
1.4055458
1.2198161
