pos_x,pos_y,Estimated X,Estimated Y,error_dist,error_direction
2.669705,-5.12824,3.819840680769836,-6.449723504372886,1.9500175,5.677986
2.250085,-3.95553,3.622219268311778,-4.963086177022954,1.7927049,7.2016964
1.82,-2.812523,3.247934130295436,-3.490409078133294,1.5051786,7.0722694
1.395812,-1.651791,2.828672259663964,-2.487590122781151,1.6558173,7.0583706
0.615028,-0.639267,2.372835349557652,-1.36043632875611,2.1828191,22.61378
-0.4403,-0.020502,1.332040217610633,-0.2702248246140085,1.9722778,29.113634
-1.454103,0.164615,0.2361535779383866,0.3476656897414453,1.708872,145.31937
-2.133905,0.115886,-1.305022830778449,0.4996664139721468,0.92187136,30.55143
-2.290969,0.179506,-2.502352698959284,0.4826047486121506,1.2753265,7.8728456
-2.263405,0.169271,-3.651403658541547,0.32855606922751,1.447674,1.8212621
-2.258558,0.167876,-3.604605008488084,0.4407048783372233,1.5000986,1.6818955
-2.242535,0.157489,-3.611594683859263,0.3801778890774528,1.4735287,1.9282782
,,,,1.4044238,
