Predicted_Values
135.10577
110.17301
135.10577
127.89107
44.16773
24.080975
1.8883207
1.0942227
1.4689088
2.1942017
2.198674
1.0538691
0.9010247
3.0656302
5.4323606
3.5510933
4.4008865
3.2747555
4.5263834
4.2775593
2.9126735
2.7049046
3.57492
3.580297
4.6378937
5.59964
3.0864751
2.8268714
3.1151989
3.2754235
3.2747555
2.7032006
2.5337272
0.9381936
0.17630644
0.3066838
0.3025143
-0.092482485
0.26671037
0.26671037
0.27857685
-0.038486935
0.38570228
0.38883588
1.1716815
0.8782296
1.2233089
1.2876053
0.94117266
1.8632504
1.888123
2.137432
1.7999352
2.279702
1.8303903
1.1964843
0.80005324
1.7943348
2.7049046
3.57492
6.968809
6.9885187
7.567738
7.5616193
7.611682
7.611682
