Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
341986.12886482,-0.061657148157063,10.041228592498394,0.2247370369966876
341986.133808667,-0.0690402583170555,10.046183368957616,0.2258765365665644
341986.138752515,-0.0858186668190446,10.083037870751488,0.228424
341986.143665845,-0.0637031444232323,10.096840857543052,0.2451914277182684
341986.148609693,-0.051954092740513,10.091967296309676,0.2642930741592379
341986.15355354,-0.0620804812462845,10.114381497032978,0.2811618502038999
341986.158497388,-0.0152546290019434,10.14384933350823,0.3161973336740935
341986.163441236,0.0372678705900747,10.17027868540032,0.3603084262487439
341986.168354566,0.0312915723682309,10.19003514247425,0.4060231414649535
341986.173267896,0.0352284276663688,10.185424714807471,0.4286017141810136
341986.178211744,0.0155798262300593,10.175325184666516,0.4617586919922886
341986.183125074,-0.0047891416033525,10.176275715121516,0.5043620058457299
341986.188068921,-0.0065180185812751,10.170428018415413,0.5176977036903239
341986.193012769,-0.0148950185812751,10.148071703488457,0.5306809075867623
341986.197956617,-0.0287733725904139,10.13892596362873,0.5415611482952446
341986.202900464,-0.0539512039324429,10.133319018415412,0.5348501665724755
341986.207844312,-0.0724481667383382,10.108553314568129,0.5020071848264753
341986.21278816,-0.0816822048145907,10.08319290496672,0.4778378880760266
341986.217732007,-0.0941033149269556,10.099178852170212,0.4509827219083192
341986.222645337,-0.0919252861495157,10.105987572003102,0.3999588588309761
341986.227589185,-0.0879102037350258,10.10679546308402,0.3365946661644937
341986.23747688,-0.0574877778495617,10.104882296314129,0.3101344630840187
341986.242420728,-0.072904092740513,10.11929833350823,0.3211422963501305
341986.247334058,-0.0789248572644214,10.120348286166816,0.3019692868455813
341986.252277906,-0.0805671111559255,10.109902314765543,0.2990379075867623
341986.257221753,-0.09170773956334,10.09575729785064,0.2937740391555402
341986.262165601,-0.0973912407317134,10.0763480554121,0.2881453519280932
341986.267078931,-0.1091894279449986,10.060666857525751,0.2917914286064644
341986.272022779,-0.1167065184961188,10.052964370343506,0.2706634441754681
341986.276966626,-0.11371594467972,10.069648349356482,0.2601800178595737
341986.281910474,-0.145431167097168,10.05635590705762,0.2506872405703007
341986.286854322,-0.1778079815845875,10.032343129575787,0.2475316852704613
341986.291798169,-0.2087576076735384,10.0371915915088,0.259589221234395
341986.296711499,-0.2253132858189863,10.038613143083408,0.2611802859054857
341986.301655347,-0.227895870424212,10.034927814810246,0.2717643335082308
341986.306599195,-0.2319909074208996,10.04807033350823,0.2896089815845875
341986.311543042,-0.2379085918868443,10.080009645134243,0.2940960927809861
341986.31648689,-0.2348537406510071,10.102171351928094,0.2861991665769255
341986.32140022,-0.2205182861841154,10.099321428936994,0.2879421425088483
341986.326344068,-0.188172425594193,10.094274574078533,0.3284647967581123
341986.331287915,-0.1586600570151139,10.098653869805032,0.3378851319365263
341986.336231763,-0.1483481851537506,10.113050092740512,0.3326118334275245
341986.341175611,-0.1493113889247808,10.117684314765544,0.3300654443413309
341986.346088941,-0.1626348565687629,10.11659214277018,0.3211252858708859
341986.351032788,-0.1783148323443261,10.120282814484751,0.3287766097464181
341986.355976636,-0.1767937406510071,10.123787055577964,0.3237975739126688
341986.360920484,-0.1579480924132376,10.119218073997828,0.3077533517622305
341986.365864331,-0.1429419821404262,10.12003416596084,0.2995660374607062
341986.370808179,-0.1376569444220372,10.101868962676038,0.2928045554972563
341986.375782544,-0.1215379213248324,10.082449963416035,0.2708434001288606
341986.380726392,-0.1274774446641563,10.092880000165865,0.257156
341986.38567024,-0.1420362411858619,10.093033535039616,0.2595653894076819
341986.39058357,-0.1456191430656717,10.08067557087137,0.2387787119884656
341986.395527417,-0.1392544455271371,10.071076260011887,0.2190970374139814
341986.400440747,-0.1190228578739877,10.087517570384646,0.2105600003305294
341986.405384595,-0.1096209074253496,10.080576962671588,0.2087805370773939
341986.410328443,-0.1023984443368809,10.069503166738338,0.1887377774862819
341986.41527229,-0.0928494634334355,10.07117779662518,0.1817916468290786
341986.420216138,-0.0779243887273637,10.063895648076356,0.1868667592322822
341986.425159986,-0.0683994259214684,10.063939870424212,0.1901420185812751
341986.430103833,-0.0671207038441926,10.064592185515249,0.1844335383081232
341986.435017163,-0.0704582855057567,10.080932427649069,0.1768710000345997
341986.439930494,-0.0608805675661923,10.087003426274238,0.1982467209672462
341986.444874341,-0.0668523890906435,10.0803260925791,0.2318470557798298
341986.449818189,-0.0693881109945127,10.086777407501604,0.2390972221504383
341986.454731519,-0.0675458568992923,10.109919856237829,0.232278285853586
341986.459675367,-0.0707944258523777,10.12326,0.2453438180702194
341986.464619214,-0.0547390368308249,10.128411166733889,0.2503770739933752
341986.469532544,-0.0638801417954829,10.131552428606058,0.265964998973405
341986.474476392,-0.0778033333108137,10.13241748149943,0.2721712961798178
341986.47942024,-0.0706886839289322,10.130346036371272,0.2566141091872382
341986.484364087,-0.0766617593936949,10.121175740651006,0.2547940185812751
341986.489307935,-0.0901473519280932,10.114015370343504,0.2535529814187248
341986.494251783,-0.0879564985949201,10.118671927257456,0.257885983182732
341986.49919563,-0.0820810925791003,10.124977055577965,0.2719911297372006
341986.50410896,-0.0751580003132295,10.118726428954291,0.2763978572298217
341986.509052808,-0.0808513705049184,10.110682796264976,0.2685899258407621
341986.513996656,-0.0836919814187248,10.09825005541655,0.25309605541655
341986.518940503,-0.081148722081812,10.10409090552418,0.2262898914790445
341986.523884351,-0.0753829258407621,10.100544092413235,0.2277345742759486
341986.528797681,-0.0808038566206625,10.096154428275934,0.2357851430315081
341986.533741529,-0.0898764814994312,10.100168425921469,0.2390579260021748
