Time (s),X (rad/s),Y (rad/s),Z (rad/s)
87245.668254619,0.01181,-0.032288,-0.006821
87245.673198467,0.009689,-0.026962,-0.006821
87245.678142315,0.01181,-0.023758,-0.007889
87245.683086162,0.012878,-0.024826,-0.007889
87245.68803001,0.013947,-0.021637,-0.008957
87245.692973858,0.013947,-0.01738,-0.007889
87245.697917705,0.016083,-0.016312,-0.007889
87245.702861553,0.013947,-0.01738,-0.007889
87245.707805401,0.009689,-0.01738,-0.010025
87245.712718731,0.006485,-0.018433,-0.011093
87245.717662578,0.007553,-0.018433,-0.010025
87245.722575908,0.006485,-0.020569,-0.008957
87245.727519756,0.005432,-0.022705,-0.006821
87245.732463604,0.004364,-0.023758,-0.008957
87245.737407451,0.004364,-0.021637,-0.007889
87245.742351299,0.006485,-0.021637,-0.010025
87245.747264629,0.010757,-0.021637,-0.010025
87245.752208477,0.013947,-0.020569,-0.010025
87245.757152324,0.016083,-0.01738,-0.008957
87245.762096172,0.019272,-0.013107,-0.007889
87245.76704002,0.021408,-0.00885,-0.007889
87245.771983867,0.021408,-0.007782,-0.006821
87245.776897198,0.018204,-0.005661,-0.0047
87245.781841045,0.015015,-0.005661,-0.003632
87245.786784893,0.009689,-0.005661,-0.002563
87245.791698223,0.006485,-0.006714,-0.002563
87245.796642071,0.002228,-0.00885,-0.0047
87245.801616436,-0.000961,-0.009918,-0.002563
87245.806560283,-0.002029,-0.010986,-0.001495
87245.811473614,-0.002029,-0.012054,-0.003632
87245.816417461,-0.000961,-0.014175,-0.002563
87245.821361309,0.0022279999999999,-0.015244,-0.001495
87245.826305156,0.006485,-0.015244,-0.000427
87245.831218487,0.009689,-0.013107,0.000626
87245.836162334,0.008621,-0.013107,0.001694
87245.841106182,0.008621,-0.013107,0.00383
87245.84605003,0.007553,-0.012054,0.00383
87245.850993877,0.008621,-0.016312,0.004898
87245.855907207,0.007553,-0.021637,0.002762
87245.860851055,0.005432,-0.021637,0.001694
87245.865794903,0.004364,-0.022705,0.001694
87245.87073875,0.002228,-0.024826,0.000626
87245.87565208,0.002228,-0.024826,0.000626
87245.880595928,0.005432,-0.025894,0.001694
87245.885539776,0.009689,-0.023758,-0.002563
87245.890483623,0.015015,-0.01738,-0.002563
87245.895427471,0.017136,-0.015244,-0.003632
87245.900340801,0.017136,-0.010986,-0.003632
87245.905284649,0.018204,-0.009918,-0.0014949999999999
87245.910228496,0.016083,-0.007782,-0.001495
87245.915172344,0.018204,-0.006714,-0.003632
87245.920116192,0.017136,-0.003525,-0.003632
87245.925060039,0.012878,0.000732,-0.002563
87245.929973369,0.006485,-0.002457,-0.002563
87245.934917217,9.200000000000008e-05,-0.005661,-0.001495
87245.939830547,-0.006287,-0.006714,0.000626
87245.944774395,-0.009491,-0.00885,0.000626
87245.949718242,-0.010559,-0.010986,0.001694
87245.95466209,-0.011627,-0.015244,0.000626
87245.95957542,-0.008423,-0.015244,-0.001495
87245.964519268,-0.000961,-0.013107,-0.000427
87245.969463115,0.003296,-0.00885,-0.001495
87245.974406963,0.012878,-0.006714,0.000626
87245.979350811,0.018204,-0.003525,-0.000427
87245.984294658,0.021408,-0.0003359999999999,0.002762
87245.989207989,0.02034,-0.002457,0.002762
87245.994182354,0.016083,-0.004593,0.00383
87245.999126201,0.006485,-0.006714,0.008087
